Seconds=  13.193	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.228	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.253	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.295	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.317	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.358	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.399	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.422	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.466	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.489	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.531	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.556	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.598	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.643	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.670	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.694	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.739	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.764	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.807	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.832	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.875	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.920	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.944	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.968	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.014	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.037	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.081	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.106	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.149	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.172	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.218	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.262	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.285	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.308	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.350	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.376	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.419	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.443	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.485	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.529	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.552	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.597	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.641	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.665	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.692	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.717	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.763	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.789	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.832	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.857	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.900	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.945	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.969	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  14.993	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.037	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.060	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.104	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.130	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.174	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.199	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.243	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.271	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.313	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.338	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.379	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.403	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.446	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.469	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.512	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
